OSEBuildingID,BuildingType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),PrimaryProperty,LargestPropertyUseTypeGFA,SecondLargest,SecondLargestPropertyUseTypeGFA,ThirdLargest,ThirdLargestPropertyUseTypeGFA,NumberPropertyUseType,harvesine_distance,ENERGYSTARScore,SiteEnergyUse(kBtu)
1,NONRESIDENTIAL,DOWNTOWN,89,1.0,12,0,88434,HOTEL,88434.0,UNDEFINED,,UNDEFINED,,1,0.4967821234009228,60.0,7226362.5
2,NONRESIDENTIAL,DOWNTOWN,20,1.0,11,15064,88502,HOTEL,83880.0,PARKING,15064.0,FOOD AND BEVERAGE,4622.0,3,0.4887262103626452,61.0,8387933.0
3,NONRESIDENTIAL,DOWNTOWN,47,1.0,41,196718,759392,HOTEL,756493.0,UNDEFINED,,UNDEFINED,,1,0.6023784009299225,43.0,72587024.0
5,NONRESIDENTIAL,DOWNTOWN,90,1.0,10,0,61320,HOTEL,61320.0,UNDEFINED,,UNDEFINED,,1,0.5862525898878533,56.0,6794584.0
8,NONRESIDENTIAL,DOWNTOWN,36,1.0,18,62000,113580,HOTEL,123445.0,PARKING,68009.0,ENTERTAINMENT AND LEISURE,0.0,3,0.6508005468558727,75.0,14172606.0
9,NONRESIDENTIAL,DOWNTOWN,17,1.0,2,37198,60090,OTHER SERVICES AND FACILITIES,88830.0,UNDEFINED,,UNDEFINED,,1,0.7231049269405355,,12086616.0
10,NONRESIDENTIAL,DOWNTOWN,90,1.0,11,0,83008,HOTEL,81352.0,UNDEFINED,,UNDEFINED,,1,0.5327330556529828,27.0,5758795.0
11,NONRESIDENTIAL,DOWNTOWN,90,1.0,8,0,102761,OTHER SERVICES AND FACILITIES,102761.0,UNDEFINED,,UNDEFINED,,1,0.4893635664651936,,6298131.5
12,NONRESIDENTIAL,DOWNTOWN,112,1.0,15,0,163984,HOTEL,163984.0,UNDEFINED,,UNDEFINED,,1,0.22643569079493722,43.0,13723820.0
15,NONRESIDENTIAL,DOWNTOWN,47,1.0,11,19279,133884,HOTEL,133884.0,UNDEFINED,,UNDEFINED,,1,0.1081662624009346,30.0,16016644.0
16,NONRESIDENTIAL,DOWNTOWN,18,1.0,25,61161,272015,HOTEL,336640.0,UNDEFINED,,UNDEFINED,,1,0.08300768781548602,36.0,26941110.0
17,NONRESIDENTIAL,DOWNTOWN,88,1.0,9,0,65009,HOTEL,65009.0,UNDEFINED,,UNDEFINED,,1,0.08356671624581152,48.0,6596057.5
18,NONRESIDENTIAL,DOWNTOWN,36,1.0,33,57600,258352,HOTEL,295511.0,PARKING,57600.0,UNDEFINED,,2,0.13049879678345258,58.0,22325364.0
19,NONRESIDENTIAL,DOWNTOWN,94,1.0,11,25200,66990,HOTEL,67390.0,PARKING,25200.0,UNDEFINED,,2,0.09454526899120072,35.0,10750010.0
21,NONRESIDENTIAL,DOWNTOWN,12,1.0,11,57000,355000,OTHER SERVICES AND FACILITIES,364913.0,PARKING,49000.0,OFFICE AND BUSINESS,1074.0,3,0.045179358153245835,,18588860.0
22,NONRESIDENTIAL,DOWNTOWN,86,1.0,6,0,103911,OTHER SERVICES AND FACILITIES,90000.0,OFFICE AND BUSINESS,40000.0,ENTERTAINMENT AND LEISURE,0.0,3,0.060351477923089286,,9956396.0
23,NONRESIDENTIAL,DOWNTOWN,33,1.0,28,85000,331281,HOTEL,348329.0,PARKING,85000.0,UNDEFINED,,2,0.07449669093919782,31.0,33556756.0
24,NONRESIDENTIAL,DOWNTOWN,109,1.0,5,0,57452,MIXED USE,16442.0,FOOD AND BEVERAGE,15505.0,OFFICE AND BUSINESS,9741.0,5,0.0762859936036595,,7606084.5
25,NONRESIDENTIAL,DOWNTOWN,100,1.0,10,0,104352,HOTEL,104352.0,UNDEFINED,,UNDEFINED,,1,0.16863492623850812,39.0,10154608.0
26,NONRESIDENTIAL,DOWNTOWN,100,1.0,10,0,540360,OTHER SERVICES AND FACILITIES,537150.0,UNDEFINED,,UNDEFINED,,1,0.2560432252595674,76.0,44984468.0
27,NONRESIDENTIAL,DOWNTOWN,31,1.0,19,0,385274,OTHER SERVICES AND FACILITIES,385274.0,UNDEFINED,,UNDEFINED,,1,0.2393065482340545,,47859812.0
28,SPS-DISTRICT K-12,SOUTHEAST,55,1.0,2,0,56228,EDUCATION,58916.0,UNDEFINED,,UNDEFINED,,1,5.116862738648708,95.0,1539478.5
29,NONRESIDENTIAL,NORTHEAST,15,1.0,6,30586,58006,HOTEL,58006.0,PARKING,30586.0,UNDEFINED,,2,3.7479721783462057,84.0,3663534.5
30,NONRESIDENTIAL,DOWNTOWN,88,1.0,7,0,126593,EDUCATION,125000.0,UNDEFINED,,UNDEFINED,,1,0.8484991179604295,,11343686.0
31,NONRESIDENTIAL,DOWNTOWN,86,1.0,2,0,67224,OTHER SERVICES AND FACILITIES,67224.0,UNDEFINED,,UNDEFINED,,1,0.6105578831953249,,1310236.625
32,NONRESIDENTIAL,EAST,25,1.0,8,30301,128375,HOTEL,112676.0,PARKING,42000.0,RETAIL AND PERSONAL SERVICES,4500.0,4,0.4880526092550726,,5328051.5
33,NONRESIDENTIAL,DOWNTOWN,15,1.0,10,38281,133585,HOTEL,128909.0,UNDEFINED,,UNDEFINED,,1,0.8116716607091687,57.0,11061916.0
35,NONRESIDENTIAL,DOWNTOWN,38,1.0,5,16200,52210,HOTEL,47994.0,UNDEFINED,,UNDEFINED,,1,0.7910981473177255,57.0,4456714.5
36,SPS-DISTRICT K-12,NORTH,67,1.0,2,0,160645,EDUCATION,164229.0,UNDEFINED,,UNDEFINED,,1,7.38984373038417,75.0,6779173.0
37,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,27,1.0,2,0,51582,EDUCATION,55166.0,UNDEFINED,,UNDEFINED,,1,2.0572547456627444,,1496816.0
38,NONRESIDENTIAL,LAKE UNION,110,1.0,3,0,87262,OFFICE AND BUSINESS,40943.0,EDUCATION,18153.0,ENTERTAINMENT AND LEISURE,4307.0,4,3.997947686292328,,4145920.5
40,NONRESIDENTIAL,NORTHEAST,22,1.0,4,0,81871,HOTEL,81871.0,UNDEFINED,,UNDEFINED,,1,4.385247360521327,29.0,6668568.5
41,NONRESIDENTIAL,NORTHEAST,61,1.0,2,0,110356,STORAGE,26225.0,UNDEFINED,,UNDEFINED,,1,4.185590355386213,,318364.8125
43,CAMPUS,GREATER DUWAMISH,24,1.0,3,0,494835,MIXED USE,757027.0,HEALTH AND MEDICAL,639931.0,STORAGE,459748.0,5,4.965238527600996,8.0,448385312.0
46,NONRESIDENTIAL,GREATER DUWAMISH,55,3.0,2,0,714095,STORAGE,616000.0,STORAGE,276000.0,OFFICE AND BUSINESS,71000.0,3,6.85137042931073,,44731160.0
50,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,26,1.0,2,0,54986,EDUCATION,54986.0,UNDEFINED,,UNDEFINED,,1,4.420259019931173,97.0,1650279.25
51,SPS-DISTRICT K-12,NORTHEAST,66,1.0,2,0,175565,EDUCATION,182861.0,UNDEFINED,,UNDEFINED,,1,5.545232521499483,88.0,6399127.5
52,NONRESIDENTIAL,BALLARD,55,1.0,2,0,94900,OFFICE AND BUSINESS,55586.0,STORAGE,39314.0,UNDEFINED,,2,4.7933718765922215,57.0,6186461.5
53,NONRESIDENTIAL,GREATER DUWAMISH,116,1.0,2,0,52554,OFFICE AND BUSINESS,51029.0,EDUCATION,7849.0,UNDEFINED,,2,2.030829288987207,83.0,2951331.25
54,NONRESIDENTIAL,NORTHWEST,62,1.0,3,0,175015,EDUCATION,175015.0,UNDEFINED,,UNDEFINED,,1,5.712958848154157,95.0,6994740.5
55,NONRESIDENTIAL,DOWNTOWN,105,1.0,3,0,70586,STORAGE,38439.0,EDUCATION,28197.0,OFFICE AND BUSINESS,3859.0,3,1.0259968729431876,,2158629.0
56,NONRESIDENTIAL,DOWNTOWN,47,1.0,24,205970,126240,HOTEL,348630.0,UNDEFINED,,UNDEFINED,,1,0.23272174140012508,67.0,16163194.0
57,NONRESIDENTIAL,DOWNTOWN,43,1.0,5,0,168115,OFFICE AND BUSINESS,103362.0,RETAIL AND PERSONAL SERVICES,65676.0,OFFICE AND BUSINESS,493.0,3,0.40948768412261427,78.0,9536161.0
58,NONRESIDENTIAL,DOWNTOWN,96,1.0,2,0,57428,OTHER SERVICES AND FACILITIES,51747.0,RETAIL AND PERSONAL SERVICES,5681.0,UNDEFINED,,4,0.4072758594909259,,1247362.0
59,NONRESIDENTIAL,DOWNTOWN,106,1.0,8,0,59400,OFFICE AND BUSINESS,34947.0,RETAIL AND PERSONAL SERVICES,4993.0,UNDEFINED,,2,0.40153652319253624,14.0,5071974.0
60,NONRESIDENTIAL,DOWNTOWN,90,1.0,2,0,52549,MIXED USE,23500.0,FOOD AND BEVERAGE,23500.0,OFFICE AND BUSINESS,5459.0,3,0.30906856796408605,,15026196.0
62,NONRESIDENTIAL,DOWNTOWN,86,1.0,20,10043,88591,HOTEL,83591.0,PARKING,10043.0,FOOD AND BEVERAGE,5000.0,3,0.43568012833330055,71.0,4841347.5
63,NONRESIDENTIAL,DOWNTOWN,34,1.0,34,146694,847518,HOTEL,994212.0,PARKING,117668.0,ENTERTAINMENT AND LEISURE,0.0,3,0.32798511326856616,63.0,80469216.0
65,NONRESIDENTIAL,DOWNTOWN,31,1.0,7,0,71150,HOTEL,41340.0,PARKING,13730.0,RETAIL AND PERSONAL SERVICES,9604.0,4,0.5043489352214227,98.0,5348309.0
66,NONRESIDENTIAL,DOWNTOWN,108,1.0,7,0,122810,HOTEL,88360.0,ENTERTAINMENT AND LEISURE,26450.0,RETAIL AND PERSONAL SERVICES,8000.0,3,0.5599366578963526,99.0,5401277.5
67,NONRESIDENTIAL,LAKE UNION,57,1.0,5,42546,70627,HOTEL,70627.0,PARKING,42546.0,UNDEFINED,,2,1.0968525832132419,86.0,5284343.5
68,NONRESIDENTIAL,LAKE UNION,16,1.0,7,34735,115718,HOTEL,107547.0,FOOD AND BEVERAGE,3000.0,UNDEFINED,,1,1.074457456213199,84.0,6715187.0
69,NONRESIDENTIAL,LAKE UNION,19,1.0,6,28200,88100,HOTEL,88490.0,PARKING,28300.0,UNDEFINED,,1,1.0977801290103155,80.0,5827595.5
70,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,18,1.0,6,36744,118858,HOTEL,155602.0,UNDEFINED,,UNDEFINED,,1,1.6019026059369783,81.0,6836900.0
73,NONRESIDENTIAL,EAST,105,1.0,3,0,56072,EDUCATION,56072.0,UNDEFINED,,UNDEFINED,,1,2.249839831236931,76.0,3234787.75
77,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,17,1.0,4,44891,78051,HOTEL,78051.0,PARKING,44891.0,UNDEFINED,,2,1.4336956608604086,94.0,5337334.0
82,NONRESIDENTIAL,CENTRAL,54,1.0,2,0,54984,OFFICE AND BUSINESS,54984.0,UNDEFINED,,UNDEFINED,,1,1.058578308416805,71.0,3375211.0
84,NONRESIDENTIAL,SOUTHWEST,94,1.0,5,0,217603,HEALTH AND MEDICAL,296313.0,PARKING,0.0,UNDEFINED,,2,3.9215818008388497,54.0,42792072.0
85,NONRESIDENTIAL,NORTHWEST,46,1.0,2,0,93397,HEALTH AND MEDICAL,93397.0,UNDEFINED,,UNDEFINED,,1,8.226824415880666,1.0,16402563.0
86,NONRESIDENTIAL,LAKE UNION,8,1.0,6,20732,63371,HOTEL,63371.0,PARKING,20732.0,UNDEFINED,,2,0.9445387955438403,74.0,3706100.25
87,SPS-DISTRICT K-12,SOUTHWEST,68,1.0,2,0,53352,EDUCATION,65568.0,UNDEFINED,,UNDEFINED,,1,6.99188399960305,,600813.0
89,NONRESIDENTIAL,EAST,51,0.0,3,0,179014,HEALTH AND MEDICAL,179014.0,UNDEFINED,,UNDEFINED,,1,0.6585618531614419,48.0,16701055.0
95,NONRESIDENTIAL,EAST,108,1.0,7,0,76631,HOTEL,76631.0,UNDEFINED,,UNDEFINED,,1,0.30783695168595054,71.0,7258758.5
96,NONRESIDENTIAL,EAST,33,1.0,6,9341,90439,MIXED USE,40174.0,PARKING,20868.0,OFFICE AND BUSINESS,17020.0,6,0.30867852744226126,,15473117.0
98,NONRESIDENTIAL,LAKE UNION,87,1.0,2,0,58320,RETAIL AND PERSONAL SERVICES,72072.0,UNDEFINED,,UNDEFINED,,1,1.1502964556204622,96.0,1049748.625
100,NONRESIDENTIAL,LAKE UNION,6,1.0,5,0,316306,OFFICE AND BUSINESS,261826.0,PARKING,150726.0,OTHER SERVICES AND FACILITIES,15139.0,4,1.2619985070203643,96.0,13795954.0
102,NONRESIDENTIAL,LAKE UNION,26,1.0,7,44766,238097,HOTEL,235788.0,PARKING,51537.0,UNDEFINED,,2,1.3971200990454498,37.0,19459304.0
103,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,54,1.0,1,0,389000,OTHER SERVICES AND FACILITIES,368000.0,UNDEFINED,,UNDEFINED,,1,1.4964339523891748,,23658978.0
104,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,54,1.0,1,0,91213,OTHER SERVICES AND FACILITIES,65000.0,UNDEFINED,,UNDEFINED,,1,1.4964339523891748,,8141155.5
106,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,78,1.0,5,0,396085,OTHER SERVICES AND FACILITIES,278500.0,UNDEFINED,,UNDEFINED,,1,1.4964339523891748,,20955026.0
107,NONRESIDENTIAL,LAKE UNION,6,1.0,12,0,571329,OFFICE AND BUSINESS,598801.0,PARKING,310699.0,OTHER SERVICES AND FACILITIES,26203.0,3,1.048452834247318,91.0,39605888.0
110,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,54,1.0,2,0,52000,OTHER SERVICES AND FACILITIES,52000.0,UNDEFINED,,UNDEFINED,,1,1.5023640691112004,,2726369.0
111,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,88,1.0,1,0,60696,OTHER SERVICES AND FACILITIES,108000.0,UNDEFINED,,UNDEFINED,,1,1.5023640691112004,,875943.3125
112,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,88,1.0,2,0,262048,OTHER SERVICES AND FACILITIES,296000.0,UNDEFINED,,UNDEFINED,,1,1.5203386358684792,,20723248.0
113,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,30,0.0,2,2352,63888,OFFICE AND BUSINESS,45900.0,OFFICE AND BUSINESS,5181.0,STORAGE,4551.0,5,1.4382892230480808,,4166306.25
114,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,6,1.0,6,303707,616891,OFFICE AND BUSINESS,729584.0,PARKING,185014.0,OTHER SERVICES AND FACILITIES,6000.0,3,1.3682892980830728,93.0,36667044.0
115,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,46,1.0,4,25930,50283,OFFICE AND BUSINESS,48546.0,PARKING,21454.0,OTHER SERVICES AND FACILITIES,2406.0,3,1.5747256555763973,68.0,3476212.5
116,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,14,1.0,6,36934,59976,HOTEL,59976.0,PARKING,36934.0,UNDEFINED,,2,1.637971978923479,56.0,5155568.5
117,NONRESIDENTIAL,NORTHEAST,54,2.0,4,0,50017,HOTEL,50017.0,ENTERTAINMENT AND LEISURE,0.0,UNDEFINED,,2,3.62097172304645,53.0,5448975.0
118,SPS-DISTRICT K-12,DELRIDGE,17,1.0,3,0,74468,EDUCATION,75364.0,UNDEFINED,,UNDEFINED,,1,3.1790377035646005,,1698176.0
119,NONRESIDENTIAL,EAST,93,1.0,3,0,67743,EDUCATION,67743.0,UNDEFINED,,UNDEFINED,,1,1.7323972009078565,34.0,2646879.0
120,NONRESIDENTIAL,EAST,108,1.0,6,0,194104,EDUCATION,194104.0,UNDEFINED,,UNDEFINED,,1,1.9048084900091724,100.0,6219841.5
121,NONRESIDENTIAL,SOUTHEAST,13,1.0,3,35752,63681,OFFICE AND BUSINESS,63681.0,PARKING,35752.0,UNDEFINED,,2,2.096642687285637,63.0,4897760.0
122,SPS-DISTRICT K-12,SOUTHEAST,25,1.0,2,0,58933,EDUCATION,60725.0,UNDEFINED,,UNDEFINED,,1,2.986158890631671,,2347138.0
125,SPS-DISTRICT K-12,GREATER DUWAMISH,59,1.0,1,0,130862,EDUCATION,134446.0,UNDEFINED,,UNDEFINED,,1,3.0506940498006188,61.0,6456026.0
127,SPS-DISTRICT K-12,SOUTHEAST,27,1.0,3,0,59955,EDUCATION,59955.0,UNDEFINED,,UNDEFINED,,1,4.409234339365174,93.0,1633399.375
130,SPS-DISTRICT K-12,MAGNOLIA / QUEEN ANNE,52,1.0,2,0,93218,EDUCATION,93218.0,UNDEFINED,,UNDEFINED,,1,2.4566549212390747,86.0,2887392.0
131,NONRESIDENTIAL,NORTHEAST,75,1.0,4,0,56521,OTHER SERVICES AND FACILITIES,49000.0,UNDEFINED,,UNDEFINED,,1,4.830226647668047,,6357632.0
132,NONRESIDENTIAL,NORTHEAST,87,1.0,2,0,206934,OTHER SERVICES AND FACILITIES,119146.0,PARKING,0.0,UNDEFINED,,2,4.837719945624865,,4253577.5
136,NONRESIDENTIAL,NORTHWEST,15,1.0,4,0,51390,HOTEL,51390.0,PARKING,0.0,UNDEFINED,,2,8.668588591104571,89.0,3611538.0
137,SPS-DISTRICT K-12,NORTHWEST,53,1.0,2,0,131013,EDUCATION,131909.0,UNDEFINED,,UNDEFINED,,1,8.235400112063614,88.0,3894584.5
138,SPS-DISTRICT K-12,NORTHWEST,57,1.0,1,0,245587,EDUCATION,245587.0,UNDEFINED,,UNDEFINED,,1,8.25384766466155,92.0,11765682.0
139,NONRESIDENTIAL,NORTHWEST,14,1.0,3,0,69138,HOTEL,70609.0,UNDEFINED,,UNDEFINED,,1,8.251427936896603,78.0,3242458.0
140,SPS-DISTRICT K-12,LAKE UNION,25,1.0,3,0,66588,EDUCATION,66588.0,UNDEFINED,,UNDEFINED,,1,3.437033142308573,,2104286.0
144,NONRESIDENTIAL,DOWNTOWN,112,1.0,5,0,190980,HOTEL,190980.0,PARKING,19051.0,UNDEFINED,,2,0.23919812621130002,98.0,6505995.0
145,NONRESIDENTIAL,DOWNTOWN,18,1.0,6,0,284100,OTHER SERVICES AND FACILITIES,189750.0,UNDEFINED,,UNDEFINED,,1,0.24898524492437699,,14641502.0
147,NONRESIDENTIAL,BALLARD,62,4.0,5,0,285333,HEALTH AND MEDICAL,302661.0,PARKING,148865.0,UNDEFINED,,2,4.765862056534301,14.0,68090728.0
148,SPS-DISTRICT K-12,BALLARD,25,1.0,2,0,55513,EDUCATION,59097.0,UNDEFINED,,UNDEFINED,,1,4.662506440279167,93.0,1513570.75
163,NONRESIDENTIAL,DOWNTOWN,10,1.0,4,0,61156,OTHER SERVICES AND FACILITIES,42755.0,OFFICE AND BUSINESS,29219.0,UNDEFINED,,2,0.40270579761670267,,9363374.0
167,NONRESIDENTIAL,DOWNTOWN,106,1.0,4,13820,59000,OTHER SERVICES AND FACILITIES,58000.0,UNDEFINED,,UNDEFINED,,1,0.7069677652454878,,2010454.625
168,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,20,1.0,4,14200,148022,HOTEL,113702.0,PARKING,32692.0,UNDEFINED,,2,1.5353274630213936,76.0,7946961.0
169,SPS-DISTRICT K-12,SOUTHEAST,26,1.0,4,0,289588,EDUCATION,289588.0,UNDEFINED,,UNDEFINED,,1,2.7541444212015063,90.0,8819852.0
170,NONRESIDENTIAL,EAST,101,1.0,3,0,63330,EDUCATION,64820.0,UNDEFINED,,UNDEFINED,,1,0.7721395305218258,,3059758.0
172,CAMPUS,DELRIDGE,46,27.0,2,0,441071,EDUCATION,483000.0,UNDEFINED,,UNDEFINED,,1,4.202558771192106,,38301744.0
173,NONRESIDENTIAL,NORTHEAST,14,1.0,2,0,96300,OFFICE AND BUSINESS,92300.0,OFFICE AND BUSINESS,4944.0,UNDEFINED,,2,5.885588002884025,,16319835.0
174,NONRESIDENTIAL,GREATER DUWAMISH,66,1.0,1,0,67356,OTHER SERVICES AND FACILITIES,68359.0,UNDEFINED,,UNDEFINED,,4,0.8923556115023553,,7475577.5
175,SPS-DISTRICT K-12,CENTRAL,8,1.0,3,0,254523,EDUCATION,254523.0,UNDEFINED,,UNDEFINED,,1,1.421777399916664,60.0,13567774.0
176,SPS-DISTRICT K-12,SOUTHEAST,15,1.0,3,0,78804,EDUCATION,78804.0,UNDEFINED,,UNDEFINED,,1,7.177930572429253,92.0,2499140.0
177,SPS-DISTRICT K-12,CENTRAL,14,1.0,3,0,66994,EDUCATION,66994.0,UNDEFINED,,UNDEFINED,,1,1.9640082260414404,79.0,2371304.5
178,SPS-DISTRICT K-12,GREATER DUWAMISH,16,1.0,3,0,98357,EDUCATION,98357.0,UNDEFINED,,UNDEFINED,,1,5.68557211744968,88.0,3456131.5
179,NONRESIDENTIAL,GREATER DUWAMISH,58,1.0,1,0,54765,OFFICE AND BUSINESS,25765.0,OTHER SERVICES AND FACILITIES,25000.0,UNDEFINED,,2,5.196742018680127,,4253369.5
180,NONRESIDENTIAL,GREATER DUWAMISH,7,1.0,5,0,89821,OTHER SERVICES AND FACILITIES,46483.0,OFFICE AND BUSINESS,37938.0,FOOD AND BEVERAGE,4579.0,3,5.263464864282611,,1950092.5
182,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,36,1.0,2,0,52611,EDUCATION,52611.0,UNDEFINED,,UNDEFINED,,1,3.4067420470024694,,4116871.5
183,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,15,1.0,4,37500,102100,RESIDENTIAL AND HOUSING,135520.0,UNDEFINED,,UNDEFINED,,1,3.397193397909211,89.0,4448582.5
185,SPS-DISTRICT K-12,NORTH,5,1.0,2,0,236758,EDUCATION,238550.0,PARKING,0.0,UNDEFINED,,2,7.217929911572386,96.0,8355988.5
187,NONRESIDENTIAL,CENTRAL,45,3.0,6,0,250981,OTHER SERVICES AND FACILITIES,137565.0,UNDEFINED,78357.0,UNDEFINED,,2,0.7808953926325171,,13071700.0
189,SPS-DISTRICT K-12,NORTHWEST,14,1.0,3,0,62526,EDUCATION,62526.0,UNDEFINED,,UNDEFINED,,1,5.744209251139883,96.0,1986094.875
338,NONRESIDENTIAL,DOWNTOWN,12,1.0,11,68432,230638,OTHER SERVICES AND FACILITIES,250000.0,UNDEFINED,,UNDEFINED,,1,0.6842894535543973,,65336980.0
190,NONRESIDENTIAL,GREATER DUWAMISH,9,1.0,3,0,64015,OFFICE AND BUSINESS,30000.0,STORAGE,15000.0,OTHER SERVICES AND FACILITIES,9015.0,3,4.893299798215085,21.0,3242077.75
194,NONRESIDENTIAL,NORTH,65,1.0,1,0,530039,RETAIL AND PERSONAL SERVICES,505103.0,FOOD AND BEVERAGE,24936.0,UNDEFINED,,2,7.00722129591438,98.0,27717034.0
195,NONRESIDENTIAL,NORTH,52,1.0,3,0,54224,OTHER SERVICES AND FACILITIES,47012.0,UNDEFINED,,UNDEFINED,,1,6.95133554574774,,7265178.0
197,NONRESIDENTIAL,NORTH,51,1.0,4,0,124342,RETAIL AND PERSONAL SERVICES,122000.0,UNDEFINED,,UNDEFINED,,1,6.909928835124199,76.0,8765978.0
198,NONRESIDENTIAL,NORTHEAST,63,6.0,10,0,879000,HEALTH AND MEDICAL,879000.0,UNDEFINED,,UNDEFINED,,1,4.534332008458324,10.0,253832464.0
200,NONRESIDENTIAL,NORTHWEST,20,1.0,3,0,55442,OTHER SERVICES AND FACILITIES,28636.0,PARKING,15385.0,HEALTH AND MEDICAL,8644.0,3,7.137387235982877,72.0,3191228.25
205,SPS-DISTRICT K-12,BALLARD,17,1.0,2,0,242795,EDUCATION,242795.0,UNDEFINED,,UNDEFINED,,1,5.2532339880297325,80.0,9157150.0
209,NONRESIDENTIAL,EAST,106,1.0,5,0,84870,STORAGE,85521.0,UNDEFINED,,UNDEFINED,,1,0.8165002965355709,,1381590.125
211,CAMPUS,NORTHWEST,46,11.0,2,111625,582447,EDUCATION,667335.0,UNDEFINED,,UNDEFINED,,1,6.432866592208198,,35891484.0
212,SPS-DISTRICT K-12,SOUTHEAST,64,1.0,2,0,173185,EDUCATION,173185.0,UNDEFINED,,UNDEFINED,,1,4.747993947640124,79.0,6127771.5
214,SPS-DISTRICT K-12,DELRIDGE,53,1.0,1,0,145341,EDUCATION,139069.0,UNDEFINED,,UNDEFINED,,1,4.2146541792789405,75.0,5499097.0
215,NONRESIDENTIAL,GREATER DUWAMISH,112,1.0,4,0,114297,STORAGE,114297.0,UNDEFINED,,UNDEFINED,,1,3.8267087333269734,61.0,2100097.75
216,SPS-DISTRICT K-12,SOUTHEAST,56,1.0,2,0,184125,EDUCATION,184125.0,UNDEFINED,,UNDEFINED,,1,6.456015496364711,86.0,8800292.0
217,SPS-DISTRICT K-12,BALLARD,57,1.0,1,0,160270,EDUCATION,160270.0,UNDEFINED,,UNDEFINED,,1,6.600506279264729,,4318917.0
220,NONRESIDENTIAL,GREATER DUWAMISH,79,1.0,1,0,234144,STORAGE,234144.0,UNDEFINED,,UNDEFINED,,1,3.258707608301088,87.0,6744317.0
223,NONRESIDENTIAL,DELRIDGE,50,1.0,1,0,64984,RETAIL AND PERSONAL SERVICES,65425.0,UNDEFINED,,UNDEFINED,,1,5.991678422919729,72.0,2944296.25
224,NONRESIDENTIAL,DELRIDGE,51,1.0,1,0,67745,RETAIL AND PERSONAL SERVICES,67782.0,UNDEFINED,,UNDEFINED,,1,5.991678422919729,37.0,9230223.0
225,SPS-DISTRICT K-12,DELRIDGE,6,1.0,2,0,367884,EDUCATION,367884.0,UNDEFINED,,UNDEFINED,,1,5.537739180978509,97.0,12265516.0
226,SPS-DISTRICT K-12,DELRIDGE,58,1.0,1,0,46797,EDUCATION,46797.0,UNDEFINED,,UNDEFINED,,1,6.3648866541262725,86.0,2075891.0
227,SPS-DISTRICT K-12,CENTRAL,53,1.0,3,0,136188,EDUCATION,136188.0,UNDEFINED,,UNDEFINED,,1,1.4201671358447592,,3217877.0
228,NONRESIDENTIAL,BALLARD,43,1.0,3,0,56000,OTHER SERVICES AND FACILITIES,56000.0,UNDEFINED,,UNDEFINED,,1,5.768306526412674,,1851260.5
229,SPS-DISTRICT K-12,SOUTHEAST,12,1.0,2,0,67371,EDUCATION,67371.0,UNDEFINED,,UNDEFINED,,1,5.139769673452712,92.0,2128459.0
230,NONRESIDENTIAL,SOUTHWEST,47,1.0,2,0,52088,STORAGE,52088.0,UNDEFINED,,UNDEFINED,,1,4.7175314735594,,1377519.5
231,SPS-DISTRICT K-12,LAKE UNION,6,1.0,3,0,127776,EDUCATION,127776.0,UNDEFINED,,UNDEFINED,,1,3.523839916125911,75.0,4748137.0
232,NONRESIDENTIAL,LAKE UNION,18,1.0,5,30000,93920,HOTEL,123920.0,PARKING,30000.0,ENTERTAINMENT AND LEISURE,0.0,3,1.630095505132255,79.0,9373179.0
233,NONRESIDENTIAL,LAKE UNION,116,1.0,1,0,50000,OTHER SERVICES AND FACILITIES,43000.0,UNDEFINED,,UNDEFINED,,1,1.491719555923804,,7548807.0
234,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,90,1.0,2,0,50292,STORAGE,42345.0,RESIDENTIAL AND HOUSING,5000.0,OFFICE AND BUSINESS,4730.0,4,1.420377892233767,,430473.6875
235,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,18,1.0,7,54341,153315,HOTEL,141591.0,UNDEFINED,,UNDEFINED,,1,1.5425164889395582,76.0,11171988.0
237,SPS-DISTRICT K-12,BALLARD,17,1.0,2,0,67235,EDUCATION,67235.0,UNDEFINED,,UNDEFINED,,1,5.673265529861385,89.0,2284133.75
