OSEBuildingID,BuildingType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),PrimaryProperty,LargestPropertyUseTypeGFA,SecondLargest,SecondLargestPropertyUseTypeGFA,ThirdLargest,ThirdLargestPropertyUseTypeGFA,NumberPropertyUseType,harvesine_distance,ENERGYSTARScore,SiteEnergyUse(kBtu)
829,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,88,3.0,4,0,62600,OTHER SERVICES AND FACILITIES,215197.0,UNDEFINED,,UNDEFINED,,1,1.5276081503250605,,11147342.0
830,NONRESIDENTIAL,EAST,12,1.0,4,21612,55800,MIXED USE,26400.0,OFFICE AND BUSINESS,19200.0,PARKING,17000.0,3,0.5599122757665231,,2655387.5
831,NONRESIDENTIAL,EAST,26,1.0,5,159157,130262,HEALTH AND MEDICAL,146150.0,PARKING,139000.0,UNDEFINED,,2,0.5970710453398126,59.0,12731388.0
832,NONRESIDENTIAL,NORTH,29,1.0,5,0,90266,OTHER SERVICES AND FACILITIES,87552.0,UNDEFINED,,UNDEFINED,,1,6.439747441471998,18.0,7771933.5
837,NONRESIDENTIAL,BALLARD,12,1.0,4,6458,80874,STORAGE,87332.0,UNDEFINED,,UNDEFINED,,1,3.891128420813472,87.0,1165598.875
839,NONRESIDENTIAL,EAST,13,1.0,6,50017,100528,HOTEL,100528.0,PARKING,50017.0,UNDEFINED,,2,0.6730970835598865,28.0,13410041.0
841,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,17,1.0,5,0,141718,OTHER SERVICES AND FACILITIES,134197.0,FOOD AND BEVERAGE,5803.0,UNDEFINED,,2,1.2926965366642955,,19085174.0
843,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,8,1.0,5,21273,90583,HOTEL,92000.0,PARKING,20000.0,FOOD AND BEVERAGE,4006.0,4,1.60903864982978,8.0,9444484.0
845,NONRESIDENTIAL,EAST,28,1.0,4,0,132828,STORAGE,132828.0,UNDEFINED,,UNDEFINED,,1,1.0770549179758573,83.0,1083729.625
847,NONRESIDENTIAL,DELRIDGE,46,1.0,1,0,70400,STORAGE,58047.0,OFFICE AND BUSINESS,12353.0,UNDEFINED,,2,4.648950977666463,1.0,13962749.0
848,NONRESIDENTIAL,NORTHWEST,21,1.0,1,0,101830,RETAIL AND PERSONAL SERVICES,130767.0,UNDEFINED,,UNDEFINED,,1,7.470665947139081,60.0,10713006.0
850,SPS-DISTRICT K-12,CENTRAL,28,1.0,3,0,55353,EDUCATION,55353.0,UNDEFINED,,UNDEFINED,,1,1.8968895225508393,,1433596.0
851,NONRESIDENTIAL,CENTRAL,42,2.0,4,0,114000,EDUCATION,114000.0,UNDEFINED,,UNDEFINED,,1,1.3988933318006247,,7575080.0
854,SPS-DISTRICT K-12,GREATER DUWAMISH,14,1.0,3,0,338063,OTHER SERVICES AND FACILITIES,180633.0,OFFICE AND BUSINESS,50000.0,FOOD AND BEVERAGE,50000.0,9,1.7763968986667575,,20675922.0
857,NONRESIDENTIAL,SOUTHWEST,51,1.0,1,0,152365,STORAGE,149293.0,OFFICE AND BUSINESS,7858.0,UNDEFINED,,2,2.6305787293604155,88.0,1069749.75
858,NONRESIDENTIAL,CENTRAL,106,1.0,6,0,320946,HEALTH AND MEDICAL,236359.0,HEALTH AND MEDICAL,86298.0,UNDEFINED,,2,1.0462621722946797,57.0,25471308.0
859,NONRESIDENTIAL,GREATER DUWAMISH,58,1.0,1,0,74178,RETAIL AND PERSONAL SERVICES,74178.0,UNDEFINED,,UNDEFINED,,1,3.999558133401347,,5402181.0
864,NONRESIDENTIAL,NORTH,29,1.0,4,0,80360,STORAGE,80360.0,UNDEFINED,,UNDEFINED,,1,7.167532778213804,96.0,686019.1875
866,SPS-DISTRICT K-12,SOUTHWEST,66,1.0,1,0,61183,EDUCATION,62975.0,UNDEFINED,,UNDEFINED,,1,3.160428139278364,92.0,2424724.25
867,NONRESIDENTIAL,EAST,20,1.0,3,0,119190,FOOD AND BEVERAGE,46280.0,UNDEFINED,,UNDEFINED,,1,0.6991093256808392,71.0,10077532.0
868,NONRESIDENTIAL,GREATER DUWAMISH,8,1.0,2,0,51856,OTHER SERVICES AND FACILITIES,48103.0,OFFICE AND BUSINESS,3753.0,UNDEFINED,,2,0.9171119496206334,,1938613.125
1280,NONRESIDENTIAL,GREATER DUWAMISH,95,1.0,3,12586,53552,MIXED USE,26044.0,OFFICE AND BUSINESS,13884.0,PARKING,13858.0,4,1.3186805113540685,3.0,7070998.5
1281,NONRESIDENTIAL,NORTHEAST,56,1.0,3,48510,65434,OFFICE AND BUSINESS,65434.0,UNDEFINED,,UNDEFINED,,1,3.9484662254310314,1.0,17880184.0
19461,NONRESIDENTIAL,NORTHEAST,59,1.0,2,0,22220,OTHER SERVICES AND FACILITIES,22220.0,UNDEFINED,,UNDEFINED,,1,5.29118936049292,90.0,778355.8125
19462,SPS-DISTRICT K-12,NORTHEAST,61,1.0,1,0,46732,EDUCATION,50956.0,UNDEFINED,,UNDEFINED,,1,6.047188171827513,87.0,2331952.75
19472,NONRESIDENTIAL,GREATER DUWAMISH,54,1.0,1,0,44700,MIXED USE,23751.0,OTHER SERVICES AND FACILITIES,14024.0,STORAGE,10095.0,3,4.406818631411203,,2042771.0
19477,NONRESIDENTIAL,GREATER DUWAMISH,40,1.0,1,0,44100,STORAGE,40000.0,UNDEFINED,,UNDEFINED,,1,4.476814634047269,1.0,1618916.375
19481,NONRESIDENTIAL,GREATER DUWAMISH,51,1.0,1,0,27800,STORAGE,27800.0,UNDEFINED,,UNDEFINED,,1,4.5008049694252,13.0,1224186.25
19489,NONRESIDENTIAL,GREATER DUWAMISH,15,1.0,1,0,46340,STORAGE,46340.0,UNDEFINED,,UNDEFINED,,1,3.5846712564567977,3.0,2564004.0
19491,CAMPUS,GREATER DUWAMISH,22,3.0,1,0,22800,OTHER SERVICES AND FACILITIES,22800.0,UNDEFINED,,UNDEFINED,,1,4.649140095453189,,2222097.5
19501,NONRESIDENTIAL,CENTRAL,106,1.0,3,0,38460,OFFICE AND BUSINESS,38460.0,UNDEFINED,,UNDEFINED,,1,0.876498949539036,69.0,1950713.25
19520,NONRESIDENTIAL,NORTHWEST,94,1.0,2,0,21022,OTHER SERVICES AND FACILITIES,21022.0,UNDEFINED,,UNDEFINED,,1,5.593891308055207,54.0,945245.625
19537,SPS-DISTRICT K-12,SOUTHWEST,62,1.0,2,0,51489,EDUCATION,51489.0,UNDEFINED,,UNDEFINED,,1,4.03434517496186,93.0,1984067.625
19559,NONRESIDENTIAL,GREATER DUWAMISH,49,1.0,1,0,48001,STORAGE,48001.0,UNDEFINED,,UNDEFINED,,1,6.973516905836821,49.0,2143650.75
